ID,Review,Category,Sentiment Score
1,"I did not hate it, but I also would not rush back to it. Pacing was uneven, drifting between engaging and tedious. I would not argue with someone who liked it more than I did. Parts of it will probably age better than others.",Movie,3
2,"At first, I did not expect much from this. Every small detail felt connected to something clever and satisfying. Little bits of personality showed up when it stopped trying to impress. I am still not sure whether it was brave or slightly unhinged.",Restaurant,5
3,"There were a few decent moments buried under a lot of noise. It stayed safely in the middle, rarely pushing for anything daring. There were a few surprises that caught my attention. I am still not sure whether it was brave or slightly unhinged.",TV Show,2
4,"Someone recommended this to me, and I finally tried it. It felt sloppy, confused, and oddly loud about nothing. By the end, I was more annoyed than entertained. Even with its flaws, it gave me something to think about later.",Product,1
5,"At first, I did not expect much from this. It landed emotionally, visually, and in all the little in-between moments. It flirted with being memorable, without quite committing. It quietly shifted my mood for the rest of the day.",Product,5
6,"It landed emotionally, visually, and in all the little in-between moments. There were a few surprises that caught my attention. Little bits of personality showed up when it stopped trying to impress. Tiny details kept revealing themselves the more I thought about it. It made me reconsider what I usually look for in this kind of thing.",Restaurant,5
7,It had an overall polish that is hard to fake. Little bits of personality showed up when it stopped trying to impress. Small details in the background ended up being more interesting than the main moments. I left feeling quietly pleased with the whole thing. I have a feeling it will spark oddly intense arguments among friends.,Restaurant,4
8,"My expectations were strangely specific, and not all of them were met. There were a few decent moments buried under a lot of noise. Tiny flashes of quality kept me from giving up on it completely. Whether people love it or hate it, I doubt anyone will find it completely neutral.",Theatre Production,2
9,"Most of it was frustrating in a way that never paid off. There were a few surprises that caught my attention. If this had been shorter, it still would have felt long. Parts of it will probably age better than others.",Theatre Production,1
10,"I loved it so much that I kept thinking about it afterwards. You can sense a clear vision, even if it is not fully realized. It is the kind of thing I immediately wanted to share with people I like. I am genuinely impressed by how well all the pieces fit together. I have a feeling it will spark oddly intense arguments among friends.",Restaurant,5
11,"I did not read any reviews beforehand, which might have helped. There were a few decent moments buried under a lot of noise. It flirted with being memorable, without quite committing. It felt like a first draft that accidentally got released. In the end, it left a clearer impression than I expected.",TV Show,2
12,"My expectations were strangely specific, and not all of them were met. There was just enough charm to keep me from zoning out. It stayed safely in the middle, rarely pushing for anything daring. I would not argue with someone who liked it more than I did. It made me reconsider what I usually look for in this kind of thing.",Theatre Production,3
13,"At first, I did not expect much from this. I kept checking the time, hoping it would end earlier than it did. Little bits of personality showed up when it stopped trying to impress. Parts of it will probably age better than others.",Theatre Production,1
14,"It was fine overall, nothing too special and nothing truly awful. Little bits of personality showed up when it stopped trying to impress. It had occasional flashes of something brilliant hiding underneath. In the end, it left a clearer impression than I expected.",Movie,3
15,"Most of the choices felt thoughtful and well considered. It had occasional flashes of something brilliant hiding underneath. I left feeling quietly pleased with the whole thing. In the end, it left a clearer impression than I expected.",TV Show,4
16,"I picked this mostly on a whim, no planning at all. I would comfortably recommend it to a friend without hesitation. Little bits of personality showed up when it stopped trying to impress. It struck a nice balance between comfort and surprise. It made me reconsider what I usually look for in this kind of thing.",Restaurant,4
17,"At first, I did not expect much from this. The idea was interesting, but the execution felt half-finished. There were a few surprises that caught my attention. I might give it another chance, but only out of boredom. I have a feeling it will spark oddly intense arguments among friends.",Movie,2
18,"It was fine overall, nothing too special and nothing truly awful. Small details in the background ended up being more interesting than the main moments. Little bits of personality showed up when it stopped trying to impress. It made me reconsider what I usually look for in this kind of thing.",Product,3
19,"You can tell people tried, it just did not land properly. It had occasional flashes of something brilliant hiding underneath. It stayed safely in the middle, rarely pushing for anything daring. I am still not sure whether it was brave or slightly unhinged.",Restaurant,2
20,"I had heard mixed things before trying it myself. I did not hate it, but I also would not rush back to it. Little bits of personality showed up when it stopped trying to impress. I would not argue with someone who liked it more than I did. It quietly shifted my mood for the rest of the day.",Movie,3
21,"I tried to keep an open mind going into it. The idea was interesting, but the execution felt half-finished. It had occasional flashes of something brilliant hiding underneath. It will probably stick in my memory for a while.",Restaurant,2
22,"I came to it tired after a long day, which probably colored my mood. Every small detail felt connected to something clever and satisfying. Tiny details kept revealing themselves the more I thought about it. Tiny details kept revealing themselves the more I thought about it. Parts of it will probably age better than others.",Theatre Production,5
23,"Solidly average, the kind of thing you forget about in a week. It flirted with being memorable, without quite committing. Timing felt off in places, like beats landing a second too late. It is decent background material when you do not want to think too hard. Once it was over, I needed a minute just to process how I felt.",Movie,3
24,"There was an almost impressive level of disappointment in every detail. It had occasional flashes of something brilliant hiding underneath. By the end, I was more annoyed than entertained. By the end, I was more annoyed than entertained. I am still not sure whether it was brave or slightly unhinged.",Restaurant,1
25,"I did not hate it, but I also would not rush back to it. It had occasional flashes of something brilliant hiding underneath. It flirted with being memorable, without quite committing. I would not go out of my way to recommend it, but I would not warn people away either. It quietly shifted my mood for the rest of the day.",Product,3
26,I would comfortably recommend it to a friend without hesitation. Little bits of personality showed up when it stopped trying to impress. Small details in the background ended up being more interesting than the main moments. It made me reconsider what I usually look for in this kind of thing.,TV Show,4
27,"It was fine overall, nothing too special and nothing truly awful. You can sense a clear vision, even if it is not fully realized. It stayed safely in the middle, rarely pushing for anything daring. I am still not sure whether it was brave or slightly unhinged.",Product,3
28,"It had an overall polish that is hard to fake. Pacing was uneven, drifting between engaging and tedious. It had occasional flashes of something brilliant hiding underneath. It quietly shifted my mood for the rest of the day.",Movie,4
29,"I did not hate it, but I also would not rush back to it. Timing felt off in places, like beats landing a second too late. If it happens to cross your path, it is worth a try once. It made me reconsider what I usually look for in this kind of thing.",Product,3
30,"Some details worked nicely while others felt completely forgettable. Pacing was uneven, drifting between engaging and tedious. It flirted with being memorable, without quite committing. Once it was over, I needed a minute just to process how I felt.",Restaurant,3
31,"I came to it tired after a long day, which probably colored my mood. Every small detail felt connected to something clever and satisfying. It had occasional flashes of something brilliant hiding underneath. It quietly shifted my mood for the rest of the day.",Product,5
32,"I kept checking the time, hoping it would end earlier than it did. You can sense a clear vision, even if it is not fully realized. By the end, I was more annoyed than entertained. I am still not sure whether it was brave or slightly unhinged.",Restaurant,1
33,"Some parts sort of worked, but the whole thing never came together. You can sense a clear vision, even if it is not fully realized. Some choices felt bold, others felt like default settings. I might give it another chance, but only out of boredom. Parts of it will probably age better than others.",Product,2
34,"Someone recommended this to me, and I finally tried it. Every small detail felt connected to something clever and satisfying. Little bits of personality showed up when it stopped trying to impress. Once it was over, I needed a minute just to process how I felt.",Movie,5
35,"I did not read any reviews beforehand, which might have helped. The idea was interesting, but the execution felt half-finished. Pacing was uneven, drifting between engaging and tedious. It will probably stick in my memory for a while.",Restaurant,2
36,Every small detail felt connected to something clever and satisfying. Little bits of personality showed up when it stopped trying to impress. I caught myself replaying specific moments in my head afterwards. Tiny details kept revealing themselves the more I thought about it. Parts of it will probably age better than others.,Product,5
37,"There was an almost impressive level of disappointment in every detail. Little bits of personality showed up when it stopped trying to impress. It flirted with being memorable, without quite committing. Once it was over, I needed a minute just to process how I felt.",Product,1
38,"The idea was interesting, but the execution felt half-finished. Timing felt off in places, like beats landing a second too late. There were a few surprises that caught my attention. In the end, it left a clearer impression than I expected.",TV Show,2
39,"I stumbled into this on a random day. There was just enough charm to keep me from zoning out. It worked well enough for a casual experience. I would not go out of my way to recommend it, but I would not warn people away either. It will probably stick in my memory for a while.",Product,3
40,"I did not hate it, but I also would not rush back to it. Small details in the background ended up being more interesting than the main moments. Some choices felt bold, others felt like default settings. It quietly shifted my mood for the rest of the day.",Theatre Production,3
41,"I would comfortably recommend it to a friend without hesitation. Pacing was uneven, drifting between engaging and tedious. I would gladly revisit it just to catch things I missed the first time. In the end, it left a clearer impression than I expected.",Restaurant,4
42,There were a few decent moments buried under a lot of noise. Small details in the background ended up being more interesting than the main moments. It had occasional flashes of something brilliant hiding underneath. It made me reconsider what I usually look for in this kind of thing.,Theatre Production,2
43,Most of it was frustrating in a way that never paid off. It had occasional flashes of something brilliant hiding underneath. There were a few surprises that caught my attention. It will probably stick in my memory for a while.,Restaurant,1
44,"I regretted sitting through the whole thing. Timing felt off in places, like beats landing a second too late. If this had been shorter, it still would have felt long. The most interesting part was wondering how it went this wrong. Once it was over, I needed a minute just to process how I felt.",Restaurant,1
45,"I went in curious and a little skeptical. Some parts sort of worked, but the whole thing never came together. Small details in the background ended up being more interesting than the main moments. It quietly shifted my mood for the rest of the day.",Product,2
46,"I genuinely enjoyed it more than I expected to. There were a few surprises that caught my attention. It flirted with being memorable, without quite committing. It will probably stick in my memory for a while.",Product,4
47,"I stumbled into this on a random day. It felt sloppy, confused, and oddly loud about nothing. Some choices felt bold, others felt like default settings. I am still not sure whether it was brave or slightly unhinged.",TV Show,1
48,"I had heard mixed things before trying it myself. There was an almost impressive level of disappointment in every detail. Timing felt off in places, like beats landing a second too late. By the end, I was more annoyed than entertained. In the end, it left a clearer impression than I expected.",TV Show,1
49,"Most of it was frustrating in a way that never paid off. Timing felt off in places, like beats landing a second too late. There were a few surprises that caught my attention. Whether people love it or hate it, I doubt anyone will find it completely neutral.",Restaurant,1
50,"Solidly average, the kind of thing you forget about in a week. It had occasional flashes of something brilliant hiding underneath. Small details in the background ended up being more interesting than the main moments. Parts of it will probably age better than others.",Restaurant,3
51,"At first, I did not expect much from this. It landed emotionally, visually, and in all the little in-between moments. There were a few surprises that caught my attention. Even with its flaws, it gave me something to think about later.",Movie,5
52,I had heard mixed things before trying it myself. I would comfortably recommend it to a friend without hesitation. It felt crafted by people who actually cared about the experience. It felt crafted by people who actually cared about the experience. It quietly shifted my mood for the rest of the day.,Movie,4
53,I had heard mixed things before trying it myself. There was an almost impressive level of disappointment in every detail. I would not bother revisiting this in any format. It made me reconsider what I usually look for in this kind of thing.,Product,1
54,"At first, I did not expect much from this. The idea was interesting, but the execution felt half-finished. I might give it another chance, but only out of boredom. Once it was over, I needed a minute just to process how I felt.",Restaurant,2
